Customer_Name,Street_Address,City,State,Zipcode,Age,Income,Payment_History,Number_of_Open_Credit_Cards,Credit_Score,Total_Debt,State_FIPS,Region_FIPS
Minta Brown,9 Mayfield Hill,Atlanta,GA,30351,62,149457,0.82,1,602,413800,13,3
Gideon Damarell,4 Northridge Junction,Baton Rouge,LA,70810,58,113490,1,9,307,484163,22,3
Leoline Heskin,0 Waubesa Trail,New York City,NY,10165,46,145479,0.72,4,411,263521,36,1
Aimee Wimes,54 Center Crossing,Boise,ID,83705,35,25731,0.77,13,547,342509,16,4
Kiley Fisbey,376 Canary Trail,El Paso,TX,79977,61,102441,0.82,11,612,338756,48,3
Joice Mammatt,887 Sherman Terrace,Fort Worth,TX,76198,28,143827,0.82,13,604,239150,48,3
Miller Sheehan,06 Pawling Way,Schaumburg,IL,60193,26,89845,0.98,6,783,397400,17,2
Glenna Thickin,378 Hayes Point,Peoria,IL,61629,36,86256,0.83,5,626,72888,17,2
Wenda Ingerman,964 Northwestern Stre,Gainesville,FL,32605,78,66808,0.82,5,623,312553,12,3
Tamarra Roarty,01 Chinook Way,New York City,NY,10009,26,132396,0.72,10,405,135261,36,1
Sabine Rosencrantz,848 Raven Lane,Fresno,CA,93709,37,119772,0.75,3,468,110015,6,4
Elisabeth Ness,4693 Washington Avenu,Scottsdale,AZ,85255,33,26823,1,11,845,64449,4,4
Deina Trowsdale,7 Ilene Circle,Cincinnati,OH,45264,70,73329,0.76,9,520,461486,39,2
Ignace Raine,860 Jay Plaza,Riverside,CA,92519,38,136166,0.98,14,776,270416,6,4
Guillaume Grissett,1 American Ash Trail,Durham,NC,27705,41,132857,1,0,309,220497,37,3
Yul Lutzmann,90 Aberg Alley,Providence,RI,2912,70,33278,0.76,15,522,389227,44,1
Nara Rawlyns,90 Killdeer Point,Denver,CO,80255,39,67182,0.8,3,600,119408,8,4
Trev Quarrie,19452 Spohn Place,San Diego,CA,92186,33,137014,0.75,2,473,492446,6,4
Vinita Lunny,39345 Sycamore Pass,New Orleans,LA,70174,31,50551,0.8,4,600,186297,22,3
Hobart Beckitt,5765 Lotheville Way,Topeka,KS,66617,61,123410,0.92,1,710,58517,20,2
Frasier Yuryaev,90244 Gerald Crossing,Philadelphia,PA,19131,67,149143,0.78,7,560,66899,42,1
Sherlock Janisson,06350 Village Green P,Santa Cruz,CA,95064,78,68303,0.92,14,714,249450,6,4
Lionello Donner,2 Melby Center,Madison,WI,53705,78,102411,0.76,4,515,250597,55,2
Kerwinn Krolak,8 Gerald Pass,Sacramento,CA,94230,57,148804,0.98,8,799,391272,6,4
Justis Akess,5 Ruskin Circle,San Jose,CA,95160,76,104817,0.8,14,577,297533,6,4
Sigismond Origan,3537 Meadow Valley Po,Philadelphia,PA,19125,56,36615,0.7,9,361,220328,42,1
Betsy Rutter,47 Goodland Terrace,Miami,FL,33111,51,135846,0.83,7,630,185912,12,3
Jerrilee Andrichuk,61 Shopko Hill,Orlando,FL,32835,72,59177,0.98,5,767,6661,12,3
Lurline Jaggi,31143 Continental Cen,Minneapolis,MN,55441,59,144532,0.98,1,782,241434,27,2
Darryl Farrin,8 Granby Parkway,Saint Joseph,MO,64504,72,66543,0.77,6,539,232634,29,2
Katherina Thresh,5 Meadow Vale Junctio,College Stati,TX,77844,24,39540,0.78,8,551,83848,48,3
Barron Adcock,3895 Oak Valley Junct,Virginia Beac,VA,23464,22,68779,0.92,8,709,217289,51,3
Madelin Mordon,34 David Court,Los Angeles,CA,90025,70,107455,0.98,1,786,389758,6,4
Tito Houlaghan,1605 North Circle,Winston Salem,NC,27105,25,25725,1,15,317,284085,37,3
Kip Heakey,447 Burning Wood Park,Houston,TX,77271,34,39024,0.74,15,450,33421,48,3
Sholom Gayforth,5174 Eggendart Trail,Gilbert,AZ,85297,52,69169,1,14,343,393113,4,4
Shoshanna Blint,0666 Memorial Crossin,Dallas,TX,75260,57,76754,0.77,10,549,292592,48,3
Theo Alfonsetti,7 Gina Alley,Atlanta,GA,31190,51,130395,0.99,4,824,437074,13,3
Hillard Caroli,40732 Rockefeller Cro,San Jose,CA,95133,42,48633,0.83,1,641,4528,6,4
Rudie Russel,63 Ludington Road,Atlanta,GA,30323,74,122871,0.76,9,524,36903,13,3
Bartram Mycock,626 Lien Road,Petaluma,CA,94975,76,80884,0.96,6,741,282615,6,4
Catha Petrusch,62 Northview Place,Springfield,IL,62718,47,121547,0.96,14,733,257850,17,2
Isaiah Benedick,9253 Washington Terra,San Antonio,TX,78230,30,79070,0.72,9,420,242660,48,3
Kessia Raynton,0425 Warner Pass,Bronx,NY,10454,47,141375,0.75,8,460,333091,36,1
Darren Darragon,93626 Novick Terrace,El Paso,TX,88589,28,144157,0.76,14,520,396087,48,3
Cybil Spickett,675 Reindahl Plaza,Houston,TX,77055,37,82255,0.78,12,552,67461,48,3
Lauren Jeppensen,5 Commercial Parkway,El Paso,TX,88535,26,40831,0.98,3,778,15666,48,3
Cathrin Van den Velde,055 Evergreen Junctio,Shreveport,LA,71115,55,53083,0.7,15,353,65947,22,3
Pattin Scrogges,714 Troy Trail,Miami,FL,33245,78,112005,0.72,5,415,393744,12,3
Lacy Chasteau,4611 Tony Pass,Pittsburgh,PA,15230,23,100363,0.77,4,550,164983,42,1
Ewan Pirri,763 Erie Pass,Savannah,GA,31422,76,140879,0.98,7,773,480292,13,3
Tabbie Summerbell,63880 Clove Place,Tulsa,OK,74126,29,141934,0.8,0,584,309194,40,3
Shirley Batchelour,85 Barnett Point,San Francisco,CA,94164,42,118537,1,11,321,325030,6,4
Tabbitha Styles,72244 7th Lane,Boston,MA,2119,56,114054,0.85,4,674,410488,25,1
Orren Tsarovic,628 Maple Wood Pass,San Francisco,CA,94177,41,64009,0.74,13,437,446432,6,4
Feodora Cromley,30837 Heath Junction,Des Moines,IA,50981,24,40043,0.77,11,528,182397,19,2
Athena Proppers,3597 Bultman Center,Wichita,KS,67210,28,122277,0.83,15,649,217351,20,2
Tiler Dabnor,521 Bluestem Court,Washington,DC,20260,76,142421,0.85,6,659,243566,11,3
Katerina Auguste,9 Mayfield Drive,Hollywood,FL,33023,29,113138,0.72,12,424,400575,12,3
Elsie Du Barry,8264 Pierstorff Lane,Springfield,IL,62705,23,65839,0.82,12,602,224777,17,2
Constantina Alekseev,239 Delaware Circle,Flint,MI,48555,48,133961,0.72,0,415,427559,26,2
Gerry Merry,329 Grayhawk Circle,Marietta,GA,30061,57,107272,0.98,1,773,86220,13,3
Justin Pigeon,357 Michigan Crossing,Phoenix,AZ,85035,72,144750,0.83,12,639,376765,4,4
Arlin Dimmock,9 Express Street,Flushing,NY,11355,57,46953,0.76,8,522,103945,36,1
Georgetta Girvin,29028 Ruskin Plaza,Spokane,WA,99260,24,107943,0.98,14,775,462939,53,4
Hildegarde Braddon,1303 Barnett Alley,Portland,OR,97271,31,60874,0.96,6,726,329893,41,4
Francklin Joules,7 Heffernan Hill,San Francisco,CA,94142,33,32247,0.75,7,468,33620,6,4
Minni Cridlan,411 Grover Way,Boulder,CO,80305,69,128907,0.83,11,638,427205,8,4
Hanan Silson,0463 Schmedeman Circl,Wilkes Barre,PA,18768,60,35096,0.77,4,533,454901,42,1
Tiena Pasque,890 Mitchell Center,Birmingham,AL,35244,54,140193,1,15,842,160210,1,3
Leonelle Provis,206 Shopko Place,Houston,TX,77218,21,75063,0.76,1,523,283579,48,3
Den Kirtland,16122 Kenwood Center,Grand Forks,ND,58207,34,66963,0.75,4,462,278625,38,2
Carling Pemberton,585 Chive Pass,Philadelphia,PA,19196,74,96083,0.8,9,582,249243,42,1
Shaylyn Medcalfe,6 Chive Street,Tacoma,WA,98447,63,145826,0.76,4,506,202141,53,4
Wilow Boerder,0 Hallows Alley,Scottsdale,AZ,85271,62,75537,0.85,6,660,171358,4,4
Phillie Whaymand,78 Mariners Cove Plac,Saint Louis,MO,63150,47,25807,0.7,12,397,196288,29,2
Merrili Kirsch,7237 Pankratz Place,Silver Spring,MD,20918,23,52842,1,13,340,269488,24,3
Marcela Steptoe,1663 New Castle Alley,Corpus Christ,TX,78405,38,75794,0.7,9,363,423440,48,3
Constantin Budgeon,8490 Upham Alley,Mobile,AL,36689,78,51586,0.8,3,585,38763,1,3
Codee Jurries,9 Burrows Avenue,Tucson,AZ,85754,23,119114,0.96,4,734,494357,4,4
Ragnar Tomadoni,55 Browning Terrace,Kansas City,MO,64101,28,73727,0.83,11,628,141652,29,2
Lowrance Asker,7 Donald Court,Pasadena,CA,91131,78,59106,0.75,5,473,224844,6,4
Juline Christoffels,18210 Jana Circle,Tulsa,OK,74184,48,135974,0.88,8,688,148599,40,3
Farley Gridon,6084 Vahlen Drive,Orlando,FL,32803,21,96137,0.74,4,447,196213,12,3
Gilemette D'Alesio,993 Independence Lane,Charlotte,NC,28247,28,140326,0.72,10,423,104714,37,3
Ebony Bugbird,99133 Hoard Crossing,Galveston,TX,77554,29,83009,0.85,0,661,14155,48,3
Natka Gilkes,7 Armistice Road,Oakland,CA,94627,59,85735,0.78,11,567,338408,6,4
Edouard Riepl,11 Menomonie Pass,Toledo,OH,43605,69,124837,0.99,6,804,106252,39,2
Marney Jewer,233 Linden Parkway,Phoenix,AZ,85053,48,47278,0.92,14,705,87021,4,4
Aldrich Durrad,979 Daystar Avenue,Topeka,KS,66642,32,43598,0.88,3,698,285895,20,2
Hebert Henniger,4462 Hovde Court,Seattle,WA,98148,63,64025,0.98,1,766,112546,53,4
Barrie Mingardo,18 Riverside Terrace,Tucson,AZ,85705,44,96030,0.75,3,477,88435,4,4
Beitris Kochlin,4 Springs Park,Orlando,FL,32885,63,42589,0.99,1,802,342825,12,3
Thibaud Clemerson,9 Nova Drive,Louisville,KY,40250,70,96850,0.76,14,507,269661,21,3
Cass Passie,7 Texas Hill,Fresno,CA,93750,66,44837,0.8,3,599,111529,6,4
Eleanora Dargie,33145 Haas Park,New York City,NY,10184,29,145431,0.75,3,481,437083,36,1
Nicky Speeding,244 Westridge Parkway,Indianapolis,IN,46247,29,104552,0.74,5,448,468513,18,2
Jaquelyn Smullin,21459 Fremont Point,Charlottesvil,VA,22908,79,71518,0.82,9,603,167800,51,3
Dorisa Lusgdin,55 Toban Court,Juneau,AK,99812,57,106976,0.98,15,751,30650,2,4
Mellisent Forri,35 Graceland Point,Stamford,CT,6922,41,30090,0.8,14,595,387354,9,1
Thoma Odby,4937 Holy Cross Lane,New York City,NY,10292,43,83206,1,14,339,302620,36,1
Sara-ann Klehyn,08586 Warrior Circle,Pittsburgh,PA,15255,27,142315,0.7,7,393,360630,42,1
Lowe Lowthian,36008 Michigan Crossi,Littleton,CO,80161,64,68798,0.77,14,529,244525,8,4
Malvina Green,1 Parkside Plaza,Rochester,NY,14624,59,102070,0.92,4,724,68870,36,1
Lucius Crookshank,87 Old Gate Park,Levittown,PA,19058,33,127130,0.98,1,783,7510,42,1
Collette Bernardez,10009 Banding Lane,Evansville,IN,47719,44,54304,0.92,1,716,416511,18,2
Georgie Dahill,41 Anhalt Park,Tulsa,OK,74184,21,112296,0.96,9,750,384121,40,3
Mathilda Chmiel,9 Gerald Hill,Grand Rapids,MI,49560,49,33786,0.75,14,489,465753,26,2
Godfrey Keson,873 Del Mar Junction,Portland,OR,97206,39,116599,0.98,10,752,414118,41,4
Claiborn Boatswain,6 Park Meadow Terrace,Kansas City,MO,64109,25,80905,0.8,6,588,67781,29,2
Marin Garvin,96038 Reindahl Alley,Santa Cruz,CA,95064,39,45559,0.7,6,380,158987,6,4
Davide Haggis,40091 Little Fleur Pl,Akron,OH,44393,72,99568,0.98,7,762,431699,39,2
Odessa Buttle,41 Eggendart Trail,Baltimore,MD,21239,74,104945,0.98,7,760,141293,24,3
Mela Courvert,08 Forest Dale Place,Springfield,IL,62756,44,133684,0.77,12,534,193277,17,2
Sibyl Bailes,2682 Springs Point,Buffalo,NY,14220,59,92943,0.74,15,449,110751,36,1
Ines Sammons,0 Ryan Alley,El Paso,TX,79940,79,100546,0.85,4,659,498495,48,3
Reilly Roome,644 Prairieview Junct,Saint Louis,MO,63169,22,92383,0.85,14,662,291520,29,2
Seumas Carlisi,9518 Londonderry Driv,Tucson,AZ,85732,47,119503,0.78,15,554,146867,4,4
Jobina Servis,739 Moland Point,Phoenix,AZ,85025,74,94492,0.76,0,514,21981,4,4
Eyde Adcocks,7859 North Alley,Washington,DC,20088,57,104653,0.88,0,685,66097,11,3
Gisella Waterworth,26 Scofield Hill,Saint Paul,MN,55123,58,117523,0.78,8,575,109462,27,2
Dulcinea Ruslinge,5352 Laurel Crossing,Orlando,FL,32803,39,111067,0.99,1,802,395190,12,3
Dody Weldrake,5 Maywood Trail,Oakland,CA,94605,73,123662,0.72,9,419,225938,6,4
Johanna Congdon,3858 Upham Hill,El Paso,TX,79905,26,145346,1,5,337,332463,48,3
Sally Harken,0 Ruskin Avenue,Cincinnati,OH,45223,43,26723,0.92,12,706,411363,39,2
Thorsten Ingerson,38553 Dovetail Hill,Chicago,IL,60636,63,138872,0.98,5,752,230305,17,2
Brew Burwell,5 Morningstar Road,Philadelphia,PA,19151,58,29999,0.7,4,360,493014,42,1
Thayne Sydenham,7 Grasskamp Lane,Pasadena,TX,77505,73,148908,1,15,318,139419,48,3
Lindsay Jeannenet,535 Cardinal Lane,New York City,NY,10270,23,98119,0.96,7,746,293097,36,1
Giuditta Hynam,8 Fordem Way,Toledo,OH,43635,62,75531,0.75,8,454,73631,39,2
Jessie Gilks,6 Village Drive,Kissimmee,FL,34745,42,130494,1,3,845,230312,12,3
Gustave Ebbins,84 Service Center,Oakland,CA,94627,77,99713,1,0,336,394712,6,4
Bogart Whopples,75 Union Terrace,Boise,ID,83727,21,93798,0.75,2,499,231522,16,4
Meryl Fenge,1 Harbort Pass,Richmond,VA,23293,77,115906,0.7,3,398,219724,51,3
Gabrielle Chilvers,6838 Tomscot Parkway,Pasadena,TX,77505,31,105927,0.75,13,454,494637,48,3
Wilma Duigenan,83 Hudson Plaza,Fort Lauderda,FL,33310,63,80874,0.85,5,671,328628,12,3
Micaela Kubanek,22304 Dovetail Lane,Santa Rosa,CA,95405,20,51463,0.83,6,649,214574,6,4
Terrill Geockle,92 Reindahl Park,Denver,CO,80249,46,98494,0.77,14,550,302323,8,4
Alvina Fairclough,15550 Talisman Lane,Tacoma,WA,98481,50,118094,0.92,2,717,16726,53,4
Margi Biddleston,6 Maywood Way,Chicago,IL,60674,46,142949,0.83,11,654,441982,17,2
Elias Tivers,5676 Pearson Road,Zephyrhills,FL,33543,37,49961,0.82,1,603,44514,12,3
Bailie Darlison,7820 Ohio Point,Washington,DC,20067,70,68675,0.76,5,521,21580,11,3
Alisander Lavallin,3152 Oakridge Lane,Sarasota,FL,34238,58,118952,1,3,312,280211,12,3
Nicoli Coyne,857 Hoepker Point,Sacramento,CA,94286,41,64133,0.78,15,551,331348,6,4
Josephina Barnett,2 Bultman Lane,Des Moines,IA,50393,20,108997,0.96,10,726,255598,19,2
Madonna Jemison,7 Sauthoff Junction,Austin,TX,78703,45,71699,0.98,9,771,192518,48,3
Yehudi Fountian,559 Onsgard Parkway,Columbus,OH,43204,66,140888,0.78,11,555,65746,39,2
Kari Beevors,09 Arkansas Drive,Arlington,TX,76011,34,64015,0.98,3,766,245172,48,3
Sawyer Chetter,54 Brickson Park Cent,Fort Worth,TX,76192,71,99743,0.82,7,613,9960,48,3
Ilyssa Shelmardine,73042 Westend Lane,Arlington,VA,22217,71,51594,0.88,13,678,414218,51,3
Gonzalo Axcell,17 Memorial Hill,Jacksonville,FL,32244,72,111636,1,2,342,292041,12,3
Josie Giamelli,561 Macpherson Terrac,Salt Lake Cit,UT,84152,63,57555,0.7,15,353,239859,49,4
Joel Shimmings,68 Prentice Center,Springfield,MA,1105,67,56104,0.78,3,552,61929,25,1
Duff Roland,718 Dexter Hill,Harrisburg,PA,17105,49,37604,0.74,1,430,305409,42,1
Mellie Grandin,39667 Kedzie Terrace,Louisville,KY,40233,40,85738,1,6,834,172767,21,3
Gottfried Syne,3 Namekagon Place,Tyler,TX,75705,56,53713,0.88,7,693,78573,48,3
Claire Patman,91 Katie Crossing,Indianapolis,IN,46266,70,35970,0.77,0,533,215309,18,2
Gerome Caven,5280 Dayton Pass,Miami,FL,33245,48,122910,0.88,7,698,10860,12,3
Janessa Peirce,99678 Corben Center,Richmond,CA,94807,52,115727,0.82,4,604,48085,6,4
Eduard Godsell,40547 Lindbergh Cente,Philadelphia,PA,19146,65,141663,0.75,9,495,218983,42,1
Marris Gascar,3158 Morning Hill,Nashville,TN,37215,25,26159,0.92,6,716,478817,47,3
Madelyn Klus,48 Quincy Place,New York City,NY,10105,54,122578,0.98,6,772,243272,36,1
Chloette Dyett,4 Barnett Plaza,Kalamazoo,MI,49048,35,141236,0.98,12,787,25935,26,2
Vally Plante,77973 Almo Junction,Lubbock,TX,79452,73,51737,0.7,7,394,44627,48,3
La verne Yakobowitz,586 Corscot Way,Warren,MI,48092,33,125638,0.83,3,644,276497,26,2
Yoko Mudge,4209 Hazelcrest Court,Elizabeth,NJ,7208,74,126029,0.7,2,370,180459,34,1
Kerstin Hillburn,3 Sutherland Center,Houston,TX,77060,23,37321,0.92,13,715,370764,48,3
Millisent Paulton,10 Jay Way,Tulsa,OK,74141,69,148656,0.96,4,730,160491,40,3
Selestina D'orsay,87522 Homewood Circle,Lynchburg,VA,24515,52,100564,0.76,5,508,441647,51,3
Reeba LeEstut,1 Hagan Trail,Toledo,OH,43615,33,128623,0.85,3,664,61840,39,2
Renato Scimoni,5 Coolidge Park,Kissimmee,FL,34745,69,54838,1,2,306,113531,12,3
Calypso Lebel,12043 Boyd Drive,Cincinnati,OH,45208,75,123489,0.75,3,492,446352,39,2
Starlene Sondland,64 Main Hill,Hattiesburg,MS,39404,65,47538,0.8,2,587,274378,28,3
Hynda Mustard,132 Marcy Park,North Hollywo,CA,91616,23,138910,0.75,14,480,139785,6,4
Lucais Gerry,5870 Lillian Point,Minneapolis,MN,55436,38,85230,0.92,1,718,186327,27,2
Nicholle Duthy,8 Melby Circle,Cincinnati,OH,45223,77,102873,0.77,8,549,397976,39,2
Amelita Leversha,43337 Almo Pass,Newark,NJ,7195,26,139534,0.77,13,547,471559,34,1
Sherri Hanalan,40173 Upham Parkway,Kansas City,MO,64149,25,80164,0.75,8,465,218549,29,2
Elfreda Proschke,724 Blaine Center,Danbury,CT,6816,36,26831,0.98,12,797,80206,9,1
Boote Phelipeaux,2053 Golf View Park,Dayton,OH,45419,44,146801,0.75,5,474,472865,39,2
Leon O'Cridigan,86927 Corry Point,San Antonio,TX,78260,75,148854,1,13,318,314999,48,3
Ivy Volante,62 Fordem Center,Washington,DC,20420,38,145656,0.85,9,660,400041,11,3
Rebeka Jerzak,231 Dunning Trail,Hyattsville,MD,20784,42,149272,0.8,5,591,155243,24,3
Doe Harlowe,7636 Ruskin Terrace,White Plains,NY,10633,54,140071,0.96,12,739,225942,36,1
Liza Bradborne,3015 Scott Street,Peoria,IL,61614,25,102762,1,15,317,496584,17,2
Tammy Mowsley,9 Portage Junction,Flushing,NY,11388,38,77981,0.82,11,621,130918,36,1
Cammy Goeff,00625 Crest Line Lane,San Diego,CA,92115,38,50696,0.83,14,633,267903,6,4
Briano Twort,5 Emmet Court,Washington,DC,20599,57,70204,0.75,1,481,353873,11,3
Davide Carnock,97321 Cody Parkway,Austin,TX,78721,64,102304,0.88,11,690,53566,48,3
Demetre Stodit,67 Mayfield Street,Oklahoma City,OK,73124,57,93873,0.78,4,564,278409,40,3
Evin Plunket,7911 New Castle Trail,Bozeman,MT,59771,68,88480,0.83,10,644,46973,30,4
Rudiger Sproson,69631 Randy Parkway,New Orleans,LA,70142,52,149102,0.96,14,734,64444,22,3
Bail Blase,2 Green Ridge Alley,Jamaica,NY,11436,30,109975,1,0,313,345851,36,1
Jervis Papworth,0 Emmet Court,Chicago,IL,60604,33,101988,0.7,13,373,188895,17,2
Hadleigh Stopps,61 Anderson Road,Herndon,VA,22070,55,106388,0.96,8,727,464265,51,3
Correy Caseborne,5463 Clarendon Center,Baton Rouge,LA,70820,76,50096,0.75,4,451,441710,22,3
Lay Wilkie,846 Straubel Place,Brockton,MA,2305,45,67153,0.7,11,385,338585,25,1
Moselle Laroze,54011 Bashford Crossi,Orlando,FL,32859,44,47398,0.7,11,353,218087,12,3
Conway Witul,12500 Granby Plaza,Grand Rapids,MI,49544,39,84326,0.98,4,765,182335,26,2
Leisha Catton,403 Jay Way,Charlottesvil,VA,22903,21,113600,0.99,1,804,388060,51,3
Carole Crafts,39103 Corry Parkway,El Paso,TX,88574,22,37319,0.75,2,453,275112,48,3
Rozella Simonsson,77 Shopko Center,Evanston,IL,60208,21,127647,0.8,9,577,61874,17,2
Jeremy Fassman,29 Hallows Crossing,Omaha,NE,68197,32,121557,0.78,10,566,81276,31,2
Cherianne Wallen,5750 Prairie Rose Jun,Tucson,AZ,85754,73,25888,0.76,5,514,103457,4,4
Hastie Jowett,366 Kedzie Center,Decatur,IL,62525,76,130734,1,4,305,79531,17,2
Louis Watling,36605 Crowley Way,Miami,FL,33153,20,106034,0.76,3,506,340381,12,3
Alasdair McAne,63 Crowley Drive,Buffalo,NY,14205,30,74483,0.85,7,675,121450,36,1
Brietta Randell,16 Longview Crossing,Mobile,AL,36689,52,142036,0.78,0,575,174274,1,3
Jody Muddle,116 Dwight Way,Reading,PA,19610,40,31375,0.77,7,528,490289,42,1
Kaitlin Frend,8322 Grayhawk Point,Cedar Rapids,IA,52405,61,38787,0.8,10,586,159319,19,2
Rubin Ducroe,12010 South Crossing,Houston,TX,77045,80,143345,0.75,9,499,93727,48,3
Ase Devenport,3036 Randy Court,Littleton,CO,80161,29,75003,0.72,7,402,315496,8,4
Phyllys Degg,2993 Sutherland Road,Miami,FL,33185,78,110676,0.75,14,484,282766,12,3
Trisha Kempson,7262 Menomonie Hill,San Antonio,TX,78225,38,81534,0.92,11,721,2864,48,3
Frannie Shipway,550 Karstens Terrace,Pompano Beach,FL,33075,37,51793,0.72,9,423,945,12,3
Mareah Van Giffen,98189 Eastwood Point,Evanston,IL,60208,40,74865,0.98,9,767,347329,17,2
Doralyn Duckfield,25123 Melby Lane,San Jose,CA,95138,23,146996,0.88,14,687,65314,6,4
Cati Partener,25138 Muir Hill,Huntington,WV,25709,38,113417,0.75,9,496,430398,54,3
Gaile Prahm,0975 Truax Pass,Boise,ID,83727,57,134036,0.98,0,754,477103,16,4
Imojean Fluit,8673 Blaine Avenue,Mc Keesport,PA,15134,69,94969,0.82,11,608,282824,42,1
Emma O'Flynn,0 Hooker Circle,Wichita,KS,67215,38,93653,0.82,7,610,227163,20,2
Elke Burgan,7 Prentice Drive,Lincoln,NE,68510,23,39638,0.8,15,585,82330,31,2
Bianka Schwanden,9644 Oriole Trail,Charleston,WV,25321,29,60616,0.75,11,490,74394,54,3
Diane Purdy,9216 American Street,El Paso,TX,88514,74,97855,0.74,0,443,455718,48,3
Ernaline Heinle,97 Crownhardt Plaza,Omaha,NE,68134,63,105570,0.77,2,530,268739,31,2
Lev Braundt,37562 Jay Pass,Saint Paul,MN,55115,71,91420,0.72,11,416,332345,27,2
Rafe Osgar,37856 Karstens Center,Detroit,MI,48242,66,108942,1,7,345,79312,26,2
Hamilton Tomley,0621 Carioca Center,Houston,TX,77293,71,50689,0.75,15,472,381219,48,3
Dolorita Bullerwell,2893 Waxwing Pass,Anniston,AL,36205,57,98102,0.82,8,602,43673,1,3
Linea Milkins,44 Manitowish Way,El Paso,TX,79994,78,54073,0.78,6,557,477089,48,3
